Close,return,P/E,β,empty_Close,empty_return,empty_P/E,empty_β
58.02,-0.0177373,-0.000305723,0.005863684,0.0,0.0,0.0,0.0
57.00,-0.0163619,-0.000287064,0.002005115,0.0,0.0,0.0,0.0
56.07,-0.0023211,-4.1395E-05,0.006177153,0.0,0.0,0.0,0.0
55.94,0.0137584,0.000245939,-0.001241887,0.0,0.0,0.0,0.0
56.72,-0.0474335,-0.000836311,0.001822506,0.0,0.0,0.0,0.0
54.09,-0.0088671,-0.000163932,-0.003325998,0.0,0.0,0.0,0.0
53.61,0.0350961,0.000654626,0.001339789,0.0,0.0,0.0,0.0
55.53,-0.0216178,-0.000389317,0.017677326,0.0,0.0,0.0,0.0
54.34,0.0217979,0.000401138,0.017659407,0.0,0.0,0.0,0.0
55.54,-0.0043308,-7.79792E-05,0.013491292,0.0,0.0,0.0,0.0
55.30,-0.0236511,-0.000427706,0.017918832,0.0,0.0,0.0,0.0
54.01,0.0151153,0.000279886,0.017299244,0.0,0.0,0.0,0.0
54.83,0.0060915,0.000111103,0.020571283,0.0,0.0,0.0,0.0
55.16,0.0093825,0.000170089,0.028093443,0.0,0.0,0.0,0.0
55.68,-0.0349037,-0.000626835,0.031294432,0.0,0.0,0.0,0.0
53.77,0.0216615,0.000402836,0.030200755,0.0,0.0,0.0,0.0
54.95,-0.0160517,-0.000292115,0.021874002,0.0,0.0,0.0,0.0
54.08,-0.0189486,-0.000350414,0.02345844,0.0,0.0,0.0,0.0
53.06,0.0049819,9.38921E-05,0.026757905,0.0,0.0,0.0,0.0
53.33,0.0257326,0.000482562,0.020543936,0.0,0.0,0.0,0.0
54.72,0.0152356,0.000278454,-0.001246958,0.0,0.0,0.0,0.0
55.56,-0.0686329,-0.001235405,-0.000149065,0.0,0.0,0.0,0.0
51.87,-0.028799,-0.000555215,0.000211533,0.0,0.0,0.0,0.0
50.40,0.010756,0.000213423,-0.006324797,0.0,0.0,0.0,0.0
50.94,0.0298775,0.000586495,-0.00402058,0.0,0.0,0.0,0.0
52.49,-0.0069783,-0.000132952,-0.000463879,0.0,0.0,0.0,0.0
52.12,-0.0194698,-0.00037354,0.012054629,0.0,0.0,0.0,0.0
51.12,-0.0516872,-0.001011145,0.008500519,0.0,0.0,0.0,0.0
48.54,-0.0100415,-0.00020686,0.008143623,0.0,0.0,0.0,0.0
48.06,-0.028654,-0.000596245,0.008281284,0.0,0.0,0.0,0.0
46.70,0.0243792,0.000522039,0.008798931,0.0,0.0,0.0,0.0
47.85,0.0110148,0.000230183,0.003686236,0.0,0.0,0.0,0.0
48.38,-0.0404388,-0.000835815,0.011509299,0.0,0.0,0.0,0.0
46.47,-0.048957,-0.001053631,0.011687954,0.0,0.0,0.0,0.0
44.25,-0.0011307,-2.55557E-05,0.014134275,0.0,0.0,0.0,0.0
44.20,-0.0257269,-0.000582123,0.013659512,0.0,0.0,0.0,0.0
43.07,0.0134331,0.000311871,0.013351982,0.0,0.0,0.0,0.0
43.66,-0.0021785,-4.99032E-05,0.002741168,0.0,0.0,0.0,0.0
43.56,0.0377318,0.000866204,0.002023271,0.0,0.0,0.0,0.0
45.24,-0.0077118,-0.000170482,0.001372825,0.0,0.0,0.0,0.0
44.89,-0.005417,-0.00012068,-0.012230249,0.0,0.0,0.0,0.0
44.65,0.0343457,0.000769307,-0.003319738,0.0,0.0,0.0,0.0
46.21,-0.0449856,-0.000973609,-0.002812414,0.0,0.0,0.0,0.0
44.17,-0.0112121,-0.000253825,-0.006839001,0.0,0.0,0.0,0.0
43.68,-0.0363083,-0.000831234,-0.005541039,0.0,0.0,0.0,0.0
42.12,0.0065663,0.000155886,-0.003863326,0.0,0.0,0.0,0.0
42.40,-0.0057358,-0.000135277,-0.003247203,0.0,0.0,0.0,0.0
42.16,0.0027833,6.60212E-05,-0.006053579,0.0,0.0,0.0,0.0
42.28,0.0108809,0.000257383,0.003532784,0.0,0.0,0.0,0.0
42.74,-0.0325208,-0.000760942,0.004278581,0.0,0.0,0.0,0.0
41.37,-0.0093498,-0.000226005,0.001949285,0.0,0.0,0.0,0.0
40.99,0.0129089,0.000314966,0.006819547,0.0,0.0,0.0,0.0
41.52,-0.0316885,-0.000763256,0.011611699,0.0,0.0,0.0,0.0
40.22,-0.0255585,-0.000635428,0.015155133,0.0,0.0,0.0,0.0
39.21,-0.0396723,-0.001011854,0.033683843,0.0,0.0,0.0,0.0
37.68,-0.0262147,-0.000695673,0.066354664,0.0,0.0,0.0,0.0
36.71,0.0680526,0.001853915,0.064541343,0.0,0.0,0.0,0.0
39.29,-0.0065109,-0.000165704,0.064205853,0.0,0.0,0.0,0.0
39.04,0.0005122,1.31206E-05,0.066385663,0.0,0.0,0.0,0.0
39.06,0.0096188,0.000246274,0.065251053,0.0,0.0,0.0,0.0
39.44,0.0011405,2.89202E-05,0.068414638,0.0,0.0,0.0,0.0
39.48,-0.1049244,-0.002657659,0.085742908,0.0,0.0,0.0,0.0
35.55,0.0418033,0.001175984,0.085269378,0.0,0.0,0.0,0.0
37.07,-0.0022283,-6.01187E-05,0.075814035,0.0,0.0,0.0,0.0
36.98,0.0188836,0.00051061,0.07352329,0.0,0.0,0.0,0.0
37.69,0.0168392,0.000446811,0.07221303,0.0,0.0,0.0,0.0
38.33,0.003191,8.32572E-05,0.071779918,0.0,0.0,0.0,0.0
38.45,-0.0098665,-0.000256605,0.069448516,0.0,0.0,0.0,0.0
38.07,-0.0151513,-0.000397959,0.070819403,0.0,0.0,0.0,0.0
